what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662150685
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662163775
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662241135
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662241903
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662243332
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1328662246817
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662248669
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662249623
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662251798
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662252715
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662254964
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662255380
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662256900
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662257779
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662259380
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662265132
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662267070
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662267451
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1328662271754
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1328662278353
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1328662279447
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1328662281169
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1328662281552
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1328662284489
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662289403
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662293178
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662298254
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662299088
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662305508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662306230
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662315641
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662316293
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662323435
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662368699
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662378002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662378692
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662382180
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662384274
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662385332
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662387232
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662393043
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662393770
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662399087
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662478868
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662518377
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662721955
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1328662766696
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662778093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662778541
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1328662784415
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1328662784663
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1328662785526
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662805049
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662814864
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662818975
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662819806
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662869681
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662880003
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662883462
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662938297
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1328662940694
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328662941373
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662944025
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662950876
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328662955451
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328663029851
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1328663037487
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1328663038013
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1328663038992
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328663043843
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328663044714
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328663050729
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328663053991
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineEnd",1328663057505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1328663057975
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1328663059384
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328663060898
