what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328663982075
activated,view,org.eclipse.jdt.junit,3.6.0.v20100526-0800,"org.eclipse.jdt.junit.ResultView",1328663984922
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1328663993829
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1328664003657
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1328664003817
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328664004916
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1328664032034
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664039493
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664040275
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664048213
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664048696
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328664048844
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664051204
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664052067
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664053025
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664053515
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328664053723
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664145879
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664146588
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1328664146794
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664182846
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328664183662
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328664195784
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1328664204559
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328664206761
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1328664229515
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1328664251824
