what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658576023
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658583606
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658586508
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658588229
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1328658593655
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328658596720
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328658600170
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1328658608440
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328658616501
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1328658626377
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.wordNext",1328658626616
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1328658627079
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658627873
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658643543
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328658647391
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1328658653292
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1328658659705
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658662670
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658776996
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658777059
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658777672
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1328658777676
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658789490
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658789551
started,bundle,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.ui",1328658792796
started,bundle,org.eclipse.jst.jsp.core,1.2.304.v201102160550,"org.eclipse.jst.jsp.core",1328658792888
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658794156
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1328658794222
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1328658797516
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658801810
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658802231
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1328658803389
executed,command,,,"scala.tools.eclipse.scalatest.junitShortcut.run",1328658811077
activated,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1328658812680
closed,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1328658812681
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1328658813435
closed,editor,org.scala-ide.sdt.core,2.0.0.v-2_09-201112200102-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1328658813435
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658816462
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658816509
error,log,,,"File not found: '/FizzBuzz/src/com/github/jefersonm/sandbox/Calculator.scala'",1328658819383
error,log,,,"File not found: '/FizzBuzz/src/com/github/jefersonm/sandbox/Calculator.scala'",1328658819384
error,log,,,"File not found: '/FizzBuzz/src/com/github/jefersonm/sandbox/CalculatorTest.scala'",1328658819385
error,log,,,"File not found: '/FizzBuzz/src/com/github/jefersonm/sandbox/CalculatorTest.scala'",1328658819386
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1328658819620
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.rename",1328658819660
