what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1339461882739
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339461887388
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339461888088
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339461889142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339461889855
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339461894112
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1339461894422
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339461910180
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339461913029
started,bundle,org.eclipse.jst.jsp.ui,1.1.600.v201105092017,"org.eclipse.jst.jsp.ui",1339461917614
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1339461917725
started,bundle,org.springframework.ide.eclipse.beans.ui.refactoring,2.7.0.201107040453-RELEASE,"org.springframework.ide.eclipse.beans.ui.refactoring",1339461917746
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1339461917813
started,bundle,org.eclipse.jst.jsp.core,1.2.400.v201105162116,"org.eclipse.jst.jsp.core",1339461918042
started,bundle,org.eclipse.dltk.core.manipulation,3.0.0.v20110609-1525,"org.eclipse.dltk.core.manipulation",1339461918965
error,log,,,"File not found: '/Calculator/src/com/github/jefersonm/sandbox/scala/CalculatorTest.scala'",1339461920070
error,log,,,"File not found: '/Calculator/src/com/github/jefersonm/sandbox/scala/CalculatorTest.scala'",1339461920072
error,log,,,"File not found: '/Calculator/src/com/github/jefersonm/sandbox/scala/Calculator.scala'",1339461920075
error,log,,,"File not found: '/Calculator/src/com/github/jefersonm/sandbox/scala/Calculator.scala'",1339461920076
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1339461920357
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.rename",1339461920412
opened,editor,org.scala-ide.sdt.core,2.0.0.v-2_08-201112200107-82421c5,"scala.tools.eclipse.ScalaSourceFileEditor",1339461924551
